"full_name","diameter","class"
"    1P/Halley",11.0,HTC
"    2P/Encke",4.8,ETc
"    3D/Biela",,JFc
"    4P/Faye",3.54,JFc
"    5D/Brorsen",,JFc
"    6P/d'Arrest",3.2,JFc
"    7P/Pons-Winnecke",5.2,JFc
"    8P/Tuttle",4.5,JFC
"    9P/Tempel 1",6.0,JFc
"   10P/Tempel 2",10.6,JFc
"   11P/Tempel-Swift-LINEAR",,JFc
"   12P/Pons-Brooks",,HTC
"   13P/Olbers",,HTC
"   14P/Wolf",4.66,JFc
"   15P/Finlay",,JFc
"   16P/Brooks 2",,JFc
"   17P/Holmes",3.42,JFc
"   18D/Perrine-Mrkos",,JFc
"   19P/Borrelly",4.8,JFc
"   20D/Westphal",,HTC
"   21P/Giacobini-Zinner",2.0,JFc
"   22P/Kopff",3.0,JFc
"   23P/Brorsen-Metcalf",,HTC
"   24P/Schaumasse",2.6,JFc
"   25D/Neujmin 2",,JFc
"   26P/Grigg-Skjellerup",2.6,JFc
"   27P/Crommelin",,HTC
"   28P/Neujmin 1",21.4,JFc
"   29P/Schwassmann-Wachmann 1",60.4,JFc
"   30P/Reinmuth 1",7.8,JFc
"   31P/Schwassmann-Wachmann 2",6.2,JFc
"   32P/Comas Sola",8.4,JFc
"   33P/Daniel",2.6,JFc
"   34D/Gale",,JFc
"   35P/Herschel-Rigollet",,HTC
"   36P/Whipple",4.56,JFc
"   37P/Forbes",1.92,JFc
"   38P/Stephan-Oterma",,HTC
"   39P/Oterma",,CTc
"   40P/Vaisala 1",4.2,JFc
"   41P/Tuttle-Giacobini-Kresak",1.4,JFc
"   42P/Neujmin 3",2.2,JFc
"   43P/Wolf-Harrington",3.6,JFc
"   44P/Reinmuth 2",3.22,JFc
"   45P/Honda-Mrkos-Pajdusakova",1.6,JFc
"   46P/Wirtanen",1.2,JFc
"   47P/Ashbrook-Jackson",5.6,JFc
"   48P/Johnson",5.74,JFc
"   49P/Arend-Rigaux",8.48,JFc
"   50P/Arend",1.9,JFc
"   51P/Harrington",4.8,JFc
"   51P/Harrington-A",4.8,JFc
"   51P/Harrington-D",,JFc
"   52P/Harrington-Abell",2.6,JFc
"   53P/Van Biesbroeck",6.66,JFc
"   54P/de Vico-Swift-NEAT",,JFc
"   55P/Tempel-Tuttle",3.6,HTC
"   56P/Slaughter-Burnham",3.12,JFc
"   57P/duToit-Neujmin-Delporte",,JFc
"   57P/duToit-Neujmin-Delporte-A",,JFc
"   58P/Jackson-Neujmin",,JFc
"   59P/Kearns-Kwee",1.58,JFc
"   60P/Tsuchinshan 2",,JFc
"   61P/Shajn-Schaldach",2.4,JFc
"   62P/Tsuchinshan 1",,JFc
"   63P/Wild 1",2.9,JFc
"   64P/Swift-Gehrels",3.2,JFc
"   65P/Gunn",10.8,JFc
"   66P/du Toit",,JFc
"   67P/Churyumov-Gerasimenko",3.4,JFc
"   68P/Klemola",4.4,JFc
"   69P/Taylor",,JFc
"   70P/Kojima",3,JFc
"   71P/Clark",1.36,JFc
"   72P/Denning-Fujikawa",,JFc
"   73P/Schwassmann-Wachmann 3",,JFc
"   73P/Schwassmann-Wachmann 3-A",,JFc
"   73P/Schwassmann-Wachmann 3-B",,JFc
"   73P/Schwassmann-Wachmann 3-C",,JFc
"   73P/Schwassmann-Wachmann 3-E",,JFc
"   73P/Schwassmann-Wachmann 3-G",,JFc
"   73P/Schwassmann-Wachmann 3-H",,JFc
"   73P/Schwassmann-Wachmann 3-J",,JFc
"   73P/Schwassmann-Wachmann 3-K",,JFc
"   73P/Schwassmann-Wachmann 3-L",,JFc
"   73P/Schwassmann-Wachmann 3-M",,JFc
"   73P/Schwassmann-Wachmann 3-N",,JFc
"   73P/Schwassmann-Wachmann 3-P",,JFc
"   73P/Schwassmann-Wachmann 3-Q",,JFc
"   73P/Schwassmann-Wachmann 3-R",,JFc
"   73P/Schwassmann-Wachmann 3-S",,JFc
"   73P/Schwassmann-Wachmann 3-T",,JFc
"   73P/Schwassmann-Wachmann 3-U",,JFc
"   73P/Schwassmann-Wachmann 3-V",,JFc
"   73P/Schwassmann-Wachmann 3-W",,JFc
"   73P/Schwassmann-Wachmann 3-X",,JFc
"   73P/Schwassmann-Wachmann 3-Y",,JFc
"   73P/Schwassmann-Wachmann 3-Z",,JFc
"   73P/Schwassmann-Wachmann 3-AA",,JFc
"   73P/Schwassmann-Wachmann 3-AB",,JFc
"   73P/Schwassmann-Wachmann 3-AC",,JFc
"   73P/Schwassmann-Wachmann 3-AD",,JFc
"   73P/Schwassmann-Wachmann 3-AE",,JFc
"   73P/Schwassmann-Wachmann 3-AF",,JFc
"   73P/Schwassmann-Wachmann 3-AG",,JFc
"   73P/Schwassmann-Wachmann 3-AH",,JFc
"   73P/Schwassmann-Wachmann 3-AI",,JFc
"   73P/Schwassmann-Wachmann 3-AJ",,JFc
"   73P/Schwassmann-Wachmann 3-AK",,JFc
"   73P/Schwassmann-Wachmann 3-AL",,JFc
"   73P/Schwassmann-Wachmann 3-AM",,JFc
"   73P/Schwassmann-Wachmann 3-AN",,JFc
"   73P/Schwassmann-Wachmann 3-AO",,JFc
"   73P/Schwassmann-Wachmann 3-AP",,JFc
"   73P/Schwassmann-Wachmann 3-AQ",,JFc
"   73P/Schwassmann-Wachmann 3-AR",,JFc
"   73P/Schwassmann-Wachmann 3-AS",,JFc
"   73P/Schwassmann-Wachmann 3-AT",,JFc
"   73P/Schwassmann-Wachmann 3-AU",,JFc
"   73P/Schwassmann-Wachmann 3-AV",,JFc
"   73P/Schwassmann-Wachmann 3-AW",,ETc
"   73P/Schwassmann-Wachmann 3-AX",,JFc
"   73P/Schwassmann-Wachmann 3-AY",,JFc
"   73P/Schwassmann-Wachmann 3-AZ",,ETc
"   73P/Schwassmann-Wachmann 3-BA",,JFc
"   73P/Schwassmann-Wachmann 3-BB",,JFc
"   73P/Schwassmann-Wachmann 3-BC",,JFc
"   73P/Schwassmann-Wachmann 3-BD",,JFc
"   73P/Schwassmann-Wachmann 3-BE",,JFc
"   73P/Schwassmann-Wachmann 3-BF",,JFc
"   73P/Schwassmann-Wachmann 3-BG",,JFc
"   73P/Schwassmann-Wachmann 3-BH",,JFc
"   73P/Schwassmann-Wachmann 3-BI",,JFc
"   73P/Schwassmann-Wachmann 3-BJ",,JFc
"   73P/Schwassmann-Wachmann 3-BK",,JFc
"   73P/Schwassmann-Wachmann 3-BL",,JFc
"   73P/Schwassmann-Wachmann 3-BM",,JFc
"   73P/Schwassmann-Wachmann 3-BN",,JFc
"   73P/Schwassmann-Wachmann 3-BO",,JFc
"   73P/Schwassmann-Wachmann 3-BP",,JFc
"   73P/Schwassmann-Wachmann 3-BQ",,JFc
"   73P/Schwassmann-Wachmann 3-BR",,JFc
"   73P/Schwassmann-Wachmann 3-BS",,JFc
"   73P/Schwassmann-Wachmann 3-BT",,JFc
"   73P/Schwassmann-Wachmann 3-BU",,JFc
"   73P/Schwassmann-Wachmann 3-BV",,JFc
"   73P/Schwassmann-Wachmann 3-BW",,JFc
"   73P/Schwassmann-Wachmann 3-BX",,JFc
"   73P/Schwassmann-Wachmann 3-BY",,JFc
"   74P/Smirnova-Chernykh",4.46,ETc
"   75D/Kohoutek",4.6,JFc
"   76P/West-Kohoutek-Ikemura",0.66,JFc
"   77P/Longmore",8.2,JFc
"   78P/Gehrels 2",,JFc
"   79P/du Toit-Hartley",2.8,JFc
"   79P/du Toit-Hartley-A",,JFc
"   79P/du Toit-Hartley-B",,JFc
"   80P/Peters-Hartley",,JFc
"   81P/Wild 2",4.0,JFc
"   82P/Gehrels 3",1.46,ETc
"   83D/Russell 1",,JFc
"   84P/Giclas",1.80,JFc
"   85P/Boethin",,JFc
"   86P/Wild 3",0.86,JFc
