Constellation,IAU,NASA,Genitive,Origin,Meaning,Brightest star
Andromeda/ænˈdrɒmɪdə,And,Andr,Andromedae/ænˈdrɒmɪdiː,ancient (Ptolemy),Andromeda (The chained maiden or princess),Alpheratz
Antlia/ˈæntliə,Ant,Antl,Antliae /ˈæntliiː,"1763, Lacaille",air pump,α Antliae
Apus /ˈeɪpəs,Aps,Apus,Apodis /ˈæpoʊdɪs,"1603, Uranometria, created by Keyser and de Houtman",Bird-of-paradise/Exotic Bird/Extraordinary Bird,α Apodis
Aquarius /əˈkwɛəriəs,Aqr,Aqar,Aquarii  /əˈkwɛəriaɪ,ancient (Ptolemy),water-bearer,Sadalsuud
Aquila /ˈækwɪlə,Aql,Aqil,Aquilae /ˈækwɪliː,ancient (Ptolemy),eagle,Altair
Ara/ˈɛərə,Ara,Arae,Arae /ˈɛəriː,ancient (Ptolemy),altar,β Arae
Aries/ˈɛər(i)iːz,Ari,Arie,Arietis /əˈraɪ.ɪtɪs,ancient (Ptolemy),ram,Hamal
Auriga /ɔːˈraɪɡə,Aur,Auri,Aurigae /ɔːˈraɪdʒiː,ancient (Ptolemy),charioteer,Capella
Boötes /boʊˈoʊtiːz,Boo,Boot,Boötis /boʊˈoʊtɪs,ancient (Ptolemy),herdsman,Arcturus
Caelum/ˈsiːləm,Cae,Cael,Caeli /ˈsiːlaɪ,"1763, Lacaille",chisel or engraving tool,α Caeli
Camelopardalis /kəˌmɛloʊˈpɑːrdəlɪs,Cam,Caml,Camelopardalis /kəˌmɛloʊˈpɑːrdəlɪs,"1613, Plancius",giraffe,β Camelopardalis
Cancer /ˈkænsər,Cnc,Canc,Cancri /ˈkæŋkraɪ,ancient (Ptolemy),crab,Tarf
Canes Venatici /ˈkeɪniːz vɪˈnætɪsaɪ,CVn,CVen,Canum Venaticorum /ˈkeɪnəm vɪnætɪˈkɒrəm,"1690, Firmamentum Sobiescianum, Hevelius",hunting dogs,Cor Caroli
Canis Major /ˈkeɪnɪs ˈmeɪdʒər,CMa,CMaj,Canis Majoris  /ˈkeɪnɪs məˈdʒɒrɪs,ancient (Ptolemy),greater dog,Sirius
Canis Minor /ˈkeɪnɪs ˈmaɪnər,CMi,CMin,Canis Minoris /ˈkeɪnɪs mɪˈnɒrɪs,ancient (Ptolemy),lesser dog,Procyon
Capricornus /ˌkæprɪˈkɔːrnəs,Cap,Capr,Capricorni /ˌkæprɪˈkɔːrnaɪ,ancient (Ptolemy),sea goat,Deneb Algedi
Carina /kəˈraɪnə,Car,Cari,Carinae /kəˈraɪniː,"1763, Lacaille, split from Argo Navis",keel,Canopus
Cassiopeia /ˌkæsioʊˈpiːə,Cas,Cass,Cassiopeiae /ˌkæsioʊˈpiːiː,ancient (Ptolemy),Cassiopeia (mythological character),Schedar
Centaurus /sɛnˈtɔːrəs,Cen,Cent,Centauri /sɛnˈtɔːraɪ,ancient (Ptolemy),centaur,Rigil Kentaurus
Cepheus /ˈsiːfiəs,Cep,Ceph,Cephei /ˈsiːfiaɪ,ancient (Ptolemy),Cepheus (mythological character),Alderamin
Cetus/ˈsiːtəs,Cet,Ceti,Ceti /ˈsiːtaɪ,ancient (Ptolemy),sea monster (later interpreted as a whale),Diphda
Chamaeleon /kəˈmiːliən,Cha,Cham,Chamaeleontis /kəˌmiːliˈɒntɪs,"1603, Uranometria, created by Keyser and de Houtman",chameleon,α Chamaeleontis
Circinus /ˈsɜːrsɪnəs,Cir,Circ,Circini /ˈsɜːrsɪnaɪ,"1763, Lacaille",compasses,α Circini
Columba/koʊˈlʌmbə,Col,Colm,Columbae /koʊˈlʌmbiː,"1592, Plancius, split from Canis Major",dove,Phact
Coma Berenices /ˈkoʊmə bɛrəˈnaɪsiːz,Com,Coma,Comae Berenices /ˈkoʊmiː bɛrəˈnaɪsiːz,"1536, Caspar Vopel, split from Leo",Berenice's hair,β Comae Berenices
"Corona Australis /koʊˈroʊnə ɔːˈstrælɪs, -ˈstreɪ-",CrA,CorA,Coronae Australis /koʊˈroʊniː ɔːˈstrælɪs,ancient (Ptolemy),southern crown,Meridiana
"Corona Borealis /koʊˈroʊnə ˌbɔːriˈælɪs, -ˈeɪlɪs",CrB,CorB,Coronae Borealis /koʊˈroʊniː bɔːriˈælɪs,ancient (Ptolemy),northern crown,Alphecca
Corvus /ˈkɔːrvəs,Crv,Corv,Corvi /ˈkɔːrvaɪ,ancient (Ptolemy),crow,Gienah
Crater /ˈkreɪtər,Crt,Crat,Crateris /krəˈtɪərɪs,ancient (Ptolemy),cup,δ Crateris
Crux /ˈkrʌks,Cru,Cruc,Crucis /ˈkruːsɪs,"1603, Uranometria, split from Centaurus",southern cross,Acrux
Cygnus /ˈsɪɡnəs,Cyg,Cygn,Cygni /ˈsɪɡnaɪ,ancient (Ptolemy),swan or Northern Cross,Deneb
Delphinus /dɛlˈfaɪnəs,Del,Dlph,Delphini/dɛlˈfaɪnaɪ,ancient (Ptolemy),dolphin,Rotanev
Dorado /dəˈrɑːdoʊ,Dor,Dora,Doradus/dəˈreɪdəs,"1603, Uranometria, created by Keyser and de Houtman",dolphinfish,α Doradus
Draco /ˈdreɪkoʊ,Dra,Drac,Draconis /drəˈkoʊnɪs,ancient (Ptolemy),dragon,Eltanin
Equuleus /ɪˈkwuːliəs,Equ,Equl,Equulei /ɪˈkwuːliaɪ,ancient (Ptolemy),pony,Kitalpha
Eridanus/ɪˈrɪdənəs,Eri,Erid,Eridani /ɪˈrɪdənaɪ,ancient (Ptolemy),river Eridanus (mythology),Achernar
Fornax/ˈfɔːrnæks,For,Forn,Fornacis/fɔːrˈneɪsɪs,"1763, Lacaille",chemical furnace,Dalim
Gemini /ˈdʒɛmɪnaɪ,Gem,Gemi,Geminorum/ˌdʒɛmɪˈnɒrəm,ancient (Ptolemy),twins,Pollux
Grus /ˈɡrʌs,Gru,Grus,Gruis /ˈɡruːɪs,"1603, Uranometria, created by Keyser and de Houtman",crane,Alnair
Hercules /ˈhɜːrkjʊliːz,Her,Herc,Herculis/ˈhɜːrkjʊlɪs,ancient (Ptolemy),Hercules (mythological character),Kornephoros
"Horologium/ˌhɒrəˈlɒdʒiəm, -ˈloʊ-",Hor,Horo,Horologii/ˌhɒrəˈloʊdʒiaɪ,"1763, Lacaille",pendulum clock,α Horologii
Hydra /ˈhaɪdrə,Hya,Hyda,Hydrae /ˈhaɪdriː,ancient (Ptolemy),Hydra (mythological creature),Alphard
Hydrus/ˈhaɪdrəs,Hyi,Hydi,Hydri /ˈhaɪdraɪ,"1603, Uranometria, created by Keyser and de Houtman",lesser water snake,β Hydri
Indus /ˈɪndəs,Ind,Indi,Indi /ˈɪndaɪ,"1603, Uranometria, created by Keyser and de Houtman",Indian (of unspecified type),α Indi
Lacerta/ləˈsɜːrtə,Lac,Lacr,Lacertae/ləˈsɜːrtiː,"1690, Firmamentum Sobiescianum, Hevelius",lizard,α Lacertae
Leo/ˈliːoʊ,Leo,Leon,Leonis/liːˈoʊnɪs,ancient (Ptolemy),lion,Regulus
Leo Minor/ˈliːoʊ ˈmaɪnər,LMi,LMin,Leonis Minoris/liːˈoʊnɪs mɪˈnɒrɪs,"1690, Firmamentum Sobiescianum, Hevelius",lesser lion,Praecipua
Lepus /ˈliːpəs,Lep,Leps,Leporis /ˈlɛpərɪs,ancient (Ptolemy),hare,Arneb
"Libra /ˈlaɪbrə, ˈliː-",Lib,Libr,Librae /ˈlaɪbriː,ancient (Ptolemy),balance,Zubeneschamali
Lupus /ˈljuːpəs,Lup,Lupi,Lupi /ˈljuːpaɪ,ancient (Ptolemy),wolf,α Lupi
Lynx /ˈlɪŋks,Lyn,Lync,Lyncis /ˈlɪnsɪs,"1690, Firmamentum Sobiescianum, Hevelius",lynx,α Lyncis
Lyra /ˈlaɪrə,Lyr,Lyra,Lyrae /ˈlaɪriː,ancient (Ptolemy),lyre / harp,Vega
Mensa/ˈmɛnsə,Men,Mens,Mensae/ˈmɛnsiː,"1763, Lacaille, as Mons Mensæ",Table Mountain (South Africa),α Mensae
Microscopium/ˌmaɪkroʊˈskɒpiəm,Mic,Micr,Microscopii/ˌmaɪkroʊˈskɒpiaɪ,"1763, Lacaille",microscope,γ Microscopii
Monoceros/məˈnɒsɪrəs,Mon,Mono,Monocerotis /ˌmɒnəsɪˈroʊtɪs,"1613, Plancius",unicorn,β Monocerotis
Musca/ˈmʌskə,Mus,Musc,Muscae /ˈmʌsiː,"1603, Uranometria, created by Keyser and de Houtman",fly,α Muscae
Norma /ˈnɔːrmə,Nor,Norm,Normae/ˈnɔːrmiː,"1763, Lacaille",carpenter's level,γ2 Normae
Octans/ˈɒktænz,Oct,Octn,Octantis/ɒkˈtæntɪs,"1763, Lacaille",octant (instrument),ν Octantis
Ophiuchus /ˌɒfiˈjuːkəs,Oph,Ophi,Ophiuchi /ˌɒfiˈjuːkaɪ,ancient (Ptolemy),serpent-bearer,Rasalhague
Orion /oʊˈraɪən,Ori,Orio,"Orionis /oʊˈraɪənɪs, ˌɒriˈoʊnɪs",ancient (Ptolemy),Orion (mythological character),Rigel
Pavo /ˈpeɪvoʊ,Pav,Pavo,Pavonis /pəˈvoʊnɪs,"1603, Uranometria, created by Keyser and de Houtman",peacock,Peacock
Pegasus/ˈpɛɡəsəs,Peg,Pegs,Pegasi /ˈpɛɡəsaɪ,ancient (Ptolemy),Pegasus (mythological winged horse),Enif
Perseus /ˈpɜːrsiəs,Per,Pers,Persei /ˈpɜːrsiaɪ,ancient (Ptolemy),Perseus (mythological character),Mirfak
